bar,equity
1,1000.0
2,2595.21
3,3751.94
4,4522.69
5,5564.02
6,6655.5
7,7414.73
8,7906.6
9,8871.89
10,10210.2
11,10812.49
12,11272.63
13,11672.87
14,12332.98
15,12653.17
16,12872.36
17,13319.81
18,14239.03
19,15311.18
20,15462.46
21,15623.11
22,15828.37
23,15834.75
24,16744.47
25,16932.18
26,17507.21
27,17738.4
28,18006.82
29,17972.18
30,17945.38
31,18288.24
32,18464.95
33,18530.98
34,18545.41
35,18876.56
36,19539.68
37,20392.89
38,21178.73
39,21435.14
40,22555.32
41,23169.71
42,23458.9
43,23604.4
44,23824.68
45,24234.8
46,24440.6
47,24488.67
48,24678.04
49,25143.81
50,25566.87
51,26101.47
52,26257.71
53,26571.86
54,26705.39
55,26790.74
56,26896.88
57,27045.53
58,27066.07
59,27351.77
60,27766.64
61,27783.07
62,27876.66
63,28201.0
64,28336.89
65,28357.24
66,28560.06
67,28973.32
