month,start_eq,end_eq,return_pct
2021-01,1000.0,2595.21,159.5208
2021-02,2595.21,3751.94,44.5718
2021-03,3751.94,4522.69,20.5429
2021-04,4522.69,5564.02,23.0244
2021-05,5564.02,6655.5,19.6168
2021-06,6655.5,7414.73,11.4075
2021-07,7414.73,7906.6,6.6336
2021-08,7906.6,8871.89,12.2088
2021-09,8871.89,10210.2,15.0847
2021-10,10210.2,10812.49,5.8989
2021-11,10812.49,11272.63,4.2556
2021-12,11272.63,11672.87,3.5506
2022-01,11672.87,12332.98,5.655
2022-02,12332.98,12653.17,2.5963
2022-03,12653.17,12872.36,1.7322
2022-04,12872.36,13319.81,3.476
2022-05,13319.81,14239.03,6.9012
2022-06,14239.03,15311.18,7.5296
2022-07,15311.18,15462.46,0.9881
2022-08,15462.46,15623.11,1.0389
2022-09,15623.11,15828.37,1.3139
2022-10,15828.37,15834.75,0.0403
2022-11,15834.75,16744.47,5.7451
2022-12,16744.47,16932.18,1.121
2023-01,16932.18,17507.21,3.3961
2023-02,17507.21,17738.4,1.3206
2023-03,17738.4,18006.82,1.5132
2023-04,18006.82,17972.18,-0.1924
2023-05,17972.18,17945.38,-0.1491
2023-06,17945.38,18288.24,1.9106
2023-07,18288.24,18464.95,0.9662
2023-08,18464.95,18530.98,0.3576
2023-09,18530.98,18545.41,0.0779
2023-10,18545.41,18876.56,1.7857
2023-11,18876.56,19539.68,3.5129
2023-12,19539.68,20392.89,4.3666
2024-01,20392.89,21178.73,3.8535
2024-02,21178.73,21435.14,1.2107
2024-03,21435.14,22555.32,5.2259
2024-04,22555.32,23169.71,2.7239
2024-05,23169.71,23458.9,1.2481
2024-06,23458.9,23604.4,0.6203
2024-07,23604.4,23824.68,0.9332
2024-08,23824.68,24234.8,1.7214
2024-09,24234.8,24440.6,0.8492
2024-10,24440.6,24488.67,0.1967
2024-11,24488.67,24678.04,0.7733
2024-12,24678.04,25143.81,1.8874
2025-01,25143.81,25566.87,1.6825
2025-02,25566.87,26101.47,2.091
2025-03,26101.47,26257.71,0.5986
2025-04,26257.71,26571.86,1.1964
2025-05,26571.86,26705.39,0.5025
2025-06,26705.39,26790.74,0.3196
2025-07,26790.74,26896.88,0.3962
2025-08,26896.88,27045.53,0.5527
2025-09,27045.53,27066.07,0.0759
2025-10,27066.07,27351.77,1.0556
2025-11,27351.77,27766.64,1.5168
2025-12,27766.64,27783.07,0.0592
2026-01,27783.07,27876.66,0.3369
2026-02,27876.66,28201.0,1.1635
2026-03,28201.0,28336.89,0.4818
2026-04,28336.89,28357.24,0.0718
2026-05,28357.24,28560.06,0.7152
2026-06,28560.06,28973.32,1.447
