month,equity
2021-01,9254.04
2021-02,49926.16
2021-03,290239.47
2021-04,1958249.2
2021-05,8238100.9
2021-06,41454519.43
2021-07,167723003.71
2021-08,928685238.09
2021-09,4803232218.99
2021-10,17833346381.52
2021-11,81897126660.11
2021-12,305453694642.67
2022-01,1266067020109.11
2022-02,3614050651886.04
2022-03,6809845677413.31
2022-04,22869284185576.53
2022-05,93409536868157.12
2022-06,467957492461525.94
2022-07,945055152460071.6
2022-08,1336412509523632.8
2022-09,2357720394963007.5
2022-10,2663354913902067.0
2022-11,9836431000500440.0
2022-12,1.718730682357024e+16
2023-01,6.1398211500162744e+16
2023-02,1.2676618133866902e+17
2023-03,2.9712453227396294e+17
2023-04,2.4251205395088915e+17
2023-05,2.1793150727705475e+17
2023-06,6.76060627440878e+17
2023-07,1.1248021012889066e+18
2023-08,1.6335639527991503e+18
2023-09,1.98984319940269e+18
2023-10,6.023354461430325e+18
2023-11,2.7779140303057863e+19
2023-12,1.371941670190441e+20
2024-01,7.579788857841169e+20
2024-02,1.6922809245979823e+21
2024-03,8.86718903448854e+21
2024-04,4.02308174038446e+22
2024-05,9.664829356361543e+22
2024-06,1.674078078546118e+23
2024-07,3.6939239947520365e+23
2024-08,1.3565669443668722e+24
2024-09,3.2132292062877534e+24
2024-10,4.002772548344307e+24
2024-11,8.965387975889915e+24
2024-12,2.4915183066523973e+25
2025-01,8.393759866322218e+25
2025-02,2.8920375228213923e+26
2025-03,7.099051816986163e+26
2025-04,2.0231833858744966e+27
2025-05,4.3233130061724585e+27
2025-06,7.413066432640183e+27
2025-07,1.466789420658334e+28
2025-08,3.064125759758514e+28
2025-09,3.1818967272283775e+28
2025-10,7.533839964121285e+28
2025-11,2.58310400074477e+29
2025-12,2.6939434682771685e+29
2026-01,4.5544755107917644e+29
2026-02,1.2039831212315921e+30
2026-03,2.001036520618946e+30
2026-04,2.2813452444611142e+30
2026-05,6.156563323222695e+30
2026-06,2.24340632972886e+31
