month,start_eq,end_eq,return_pct,trades
2021-01,1000.0,9254.04,825.4043,534
2021-02,9254.04,49926.16,439.5065,425
2021-03,49926.16,290239.47,481.3374,446
2021-04,290239.47,1958249.2,574.7012,421
2021-05,1958249.2,8238100.9,320.6871,430
2021-06,8238100.9,41454519.43,403.2048,527
2021-07,41454519.43,167723003.71,304.5952,463
2021-08,167723003.71,928685238.09,453.7018,451
2021-09,928685238.09,4803232218.99,417.2078,496
2021-10,4803232218.99,17833346381.52,271.278,406
2021-11,17833346381.52,81897126660.11,359.2359,330
2021-12,81897126660.11,305453694642.67,272.9724,451
2022-01,305453694642.67,1266067020109.11,314.4874,307
2022-02,1266067020109.11,3614050651886.04,185.4549,247
2022-03,3614050651886.04,6809845677413.31,88.427,190
2022-04,6809845677413.31,22869284185576.53,235.8268,304
2022-05,22869284185576.53,93409536868157.12,308.4498,417
2022-06,93409536868157.12,467957492461525.94,400.974,380
2022-07,467957492461525.94,945055152460071.6,101.9532,212
2022-08,945055152460071.6,1336412509523632.8,41.4111,167
2022-09,1336412509523632.8,2357720394963007.5,76.4216,85
2022-10,2357720394963007.5,2663354913902067.0,12.9631,25
2022-11,2663354913902067.0,9836431000500440.0,269.3248,168
2022-12,9836431000500440.0,1.718730682357024e+16,74.7311,39
2023-01,1.718730682357024e+16,6.1398211500162744e+16,257.23,328
2023-02,6.1398211500162744e+16,1.2676618133866902e+17,106.4656,158
2023-03,1.2676618133866902e+17,2.9712453227396294e+17,134.3879,188
2023-04,2.9712453227396294e+17,2.4251205395088915e+17,-18.3803,68
2023-05,2.4251205395088915e+17,2.1793150727705475e+17,-10.1358,20
2023-06,2.1793150727705475e+17,6.76060627440878e+17,210.217,141
2023-07,6.76060627440878e+17,1.1248021012889066e+18,66.3759,128
2023-08,1.1248021012889066e+18,1.6335639527991503e+18,45.2312,54
2023-09,1.6335639527991503e+18,1.98984319940269e+18,21.8099,35
2023-10,1.98984319940269e+18,6.023354461430325e+18,202.705,162
2023-11,6.023354461430325e+18,2.7779140303057863e+19,361.1905,345
2023-12,2.7779140303057863e+19,1.371941670190441e+20,393.8748,373
2024-01,1.371941670190441e+20,7.579788857841169e+20,452.4862,327
2024-02,7.579788857841169e+20,1.6922809245979823e+21,123.2623,149
2024-03,1.6922809245979823e+21,8.86718903448854e+21,423.9785,414
2024-04,8.86718903448854e+21,4.02308174038446e+22,353.7043,311
2024-05,4.02308174038446e+22,9.664829356361543e+22,140.2345,189
2024-06,9.664829356361543e+22,1.674078078546118e+23,73.2134,83
2024-07,1.674078078546118e+23,3.6939239947520365e+23,120.6542,184
2024-08,3.6939239947520365e+23,1.3565669443668722e+24,267.2428,214
2024-09,1.3565669443668722e+24,3.2132292062877534e+24,136.8648,124
2024-10,3.2132292062877534e+24,4.002772548344307e+24,24.5716,107
2024-11,4.002772548344307e+24,8.965387975889915e+24,123.9795,326
2024-12,8.965387975889915e+24,2.4915183066523973e+25,177.9041,207
2025-01,2.4915183066523973e+25,8.393759866322218e+25,236.8934,176
2025-02,8.393759866322218e+25,2.8920375228213923e+26,244.5461,245
2025-03,2.8920375228213923e+26,7.099051816986163e+26,145.4689,153
2025-04,7.099051816986163e+26,2.0231833858744966e+27,184.9935,139
2025-05,2.0231833858744966e+27,4.3233130061724585e+27,113.6886,120
2025-06,4.3233130061724585e+27,7.413066432640183e+27,71.4673,61
2025-07,7.413066432640183e+27,1.466789420658334e+28,97.8654,102
2025-08,1.466789420658334e+28,3.064125759758514e+28,108.9002,121
2025-09,3.064125759758514e+28,3.1818967272283775e+28,3.8435,56
2025-10,3.1818967272283775e+28,7.533839964121285e+28,136.772,149
2025-11,7.533839964121285e+28,2.58310400074477e+29,242.8669,199
2025-12,2.58310400074477e+29,2.6939434682771685e+29,4.2909,51
2026-01,2.6939434682771685e+29,4.5544755107917644e+29,69.0635,82
2026-02,4.5544755107917644e+29,1.2039831212315921e+30,164.3517,166
2026-03,1.2039831212315921e+30,2.001036520618946e+30,66.2014,141
2026-04,2.001036520618946e+30,2.2813452444611142e+30,14.0082,39
2026-05,2.2813452444611142e+30,6.156563323222695e+30,169.8655,167
2026-06,6.156563323222695e+30,2.24340632972886e+31,264.3926,310
