month,symbol,return_pct,trades
2021-01,NEARUSDT,1.792029017278573,263.0
2021-02,NEARUSDT,0.8482706460393319,182.0
2021-03,NEARUSDT,1.111243309927064,267.0
2021-04,NEARUSDT,1.4141584686218385,215.0
2021-05,NEARUSDT,0.6484072955944868,183.0
2021-06,NEARUSDT,1.2114177637658674,268.0
2021-07,NEARUSDT,0.38466211728550115,230.0
2021-08,NEARUSDT,0.971878226634881,208.0
2021-09,NEARUSDT,0.6487965065596217,230.0
2021-10,NEARUSDT,0.37202289414109113,214.0
2021-11,NEARUSDT,0.7484149496544342,180.0
2021-12,NEARUSDT,1.0292384937571888,265.0
2022-01,NEARUSDT,1.0016746398479828,198.0
2022-02,NEARUSDT,0.4192517464637886,144.0
2022-03,NEARUSDT,0.3708075716175662,104.0
2022-04,NEARUSDT,0.7350394454385147,202.0
2022-05,NEARUSDT,1.2355152831706755,227.0
2022-06,NEARUSDT,0.6431970896973912,176.0
2022-07,NEARUSDT,0.33549843647813643,96.0
2022-08,NEARUSDT,0.15072828024658827,88.0
2022-09,NEARUSDT,0.06879149374111324,37.0
2022-10,NEARUSDT,0.03838749564737243,10.0
2022-11,NEARUSDT,0.07154628967600576,60.0
2022-12,NEARUSDT,0.048056811996817286,11.0
2023-01,NEARUSDT,0.3927661829743786,165.0
2023-02,NEARUSDT,0.22936941608724462,93.0
2023-03,NEARUSDT,0.2983736197456525,88.0
2023-04,NEARUSDT,-0.0359164424231527,24.0
2023-05,NEARUSDT,-0.001665673823719029,7.0
2023-06,NEARUSDT,0.2065544276685196,50.0
2023-07,NEARUSDT,0.13951450181873817,39.0
2023-08,NEARUSDT,0.050408695060741644,16.0
2023-09,NEARUSDT,-0.0106938714954243,3.0
2023-10,NEARUSDT,0.22347248855126237,47.0
2023-11,NEARUSDT,0.6458082065616929,165.0
2023-12,NEARUSDT,0.808498533033285,163.0
2024-01,NEARUSDT,0.6719970028106991,167.0
2024-02,NEARUSDT,0.38042707344852184,107.0
2024-03,NEARUSDT,1.2952692726998403,235.0
2024-04,NEARUSDT,1.0306733750840091,188.0
2024-05,NEARUSDT,0.2441241495859116,108.0
2024-06,NEARUSDT,0.21438459825783016,51.0
2024-07,NEARUSDT,0.37700688780247293,103.0
2024-08,NEARUSDT,0.5743803017127369,117.0
2024-09,NEARUSDT,0.3230771304464489,98.0
2024-10,NEARUSDT,0.24455890481086628,76.0
2024-11,NEARUSDT,0.4715957984061179,212.0
2024-12,NEARUSDT,0.5417287334316842,124.0
2025-01,NEARUSDT,0.3206556187058744,80.0
2025-02,NEARUSDT,0.5092061685982835,117.0
2025-03,NEARUSDT,0.47760548149602067,82.0
2025-04,NEARUSDT,0.3213362126682392,74.0
2025-05,NEARUSDT,0.3455984785906167,87.0
2025-06,NEARUSDT,0.31376204263510576,30.0
2025-07,NEARUSDT,0.32494780694138237,70.0
2025-08,NEARUSDT,0.2054403582765381,60.0
2025-09,NEARUSDT,-0.024656703329676028,38.0
2025-10,NEARUSDT,0.1104079608442297,87.0
2025-11,NEARUSDT,0.5318845257272236,91.0
2025-12,NEARUSDT,0.01971416510256307,32.0
2026-01,NEARUSDT,0.15879126555412043,64.0
2026-02,NEARUSDT,0.371909465102298,85.0
2026-03,NEARUSDT,0.2450767558517229,108.0
2026-04,NEARUSDT,0.06882161602817642,37.0
2026-05,NEARUSDT,0.565097053307667,166.0
2026-06,NEARUSDT,1.1321143686357946,238.0
2021-01,SOLUSDT,1.5108561735622101,271.0
2021-02,SOLUSDT,1.288254734775328,243.0
2021-03,SOLUSDT,0.6253022134319232,179.0
2021-04,SOLUSDT,0.8824426801105048,206.0
2021-05,SOLUSDT,1.2799541668621581,247.0
2021-06,SOLUSDT,0.5650720214313284,259.0
2021-07,SOLUSDT,0.5379812335640468,233.0
2021-08,SOLUSDT,0.9630106005158332,243.0
2021-09,SOLUSDT,1.6329871186895992,266.0
2021-10,SOLUSDT,0.7012124396125531,192.0
2021-11,SOLUSDT,0.33655287353579433,150.0
2021-12,SOLUSDT,0.1309975872346826,186.0
2022-01,SOLUSDT,0.5135876818261047,109.0
2022-02,SOLUSDT,0.2778373059981429,103.0
2022-03,SOLUSDT,0.1541762584930276,86.0
2022-04,SOLUSDT,0.3244889079347838,102.0
2022-05,SOLUSDT,0.7837741286731869,190.0
2022-06,SOLUSDT,1.2560157949953408,204.0
2022-07,SOLUSDT,0.07238662335666762,116.0
2022-08,SOLUSDT,0.1649450478202307,79.0
2022-09,SOLUSDT,0.26379412631303395,48.0
2022-10,SOLUSDT,-0.007344690522276891,15.0
2022-11,SOLUSDT,1.2689578574132987,108.0
2022-12,SOLUSDT,0.24763649466720505,28.0
2023-01,SOLUSDT,0.6534252650177557,163.0
2023-02,SOLUSDT,0.23195423836446935,65.0
2023-03,SOLUSDT,0.2556131968864609,100.0
2023-04,SOLUSDT,-0.034097591048493775,44.0
2023-05,SOLUSDT,-0.03757310513574646,13.0
2023-06,SOLUSDT,0.40118186600972733,91.0
2023-07,SOLUSDT,0.19252429614376582,89.0
2023-08,SOLUSDT,0.07272553130481159,38.0
2023-09,SOLUSDT,0.02519907103680919,32.0
2023-10,SOLUSDT,0.37751921334972044,115.0
2023-11,SOLUSDT,0.6706199845753399,180.0
2023-12,SOLUSDT,0.87216685618415,210.0
2024-01,SOLUSDT,0.8350435564868266,160.0
2024-02,SOLUSDT,0.2031510420683247,42.0
2024-03,SOLUSDT,1.0454927204292062,179.0
2024-04,SOLUSDT,0.4359610170721777,123.0
2024-05,SOLUSDT,0.30848597295937746,81.0
2024-06,SOLUSDT,0.11597506714367174,32.0
2024-07,SOLUSDT,0.15305804816386917,81.0
2024-08,SOLUSDT,0.3398190871829772,97.0
2024-09,SOLUSDT,0.1556109750392731,26.0
2024-10,SOLUSDT,-0.036136357857115046,31.0
2024-11,SOLUSDT,0.06846941660521746,114.0
2024-12,SOLUSDT,0.43320601248634116,83.0
2025-01,SOLUSDT,0.46697793989003505,96.0
2025-02,SOLUSDT,0.5455820784852361,128.0
2025-03,SOLUSDT,0.01846558795660194,71.0
2025-04,SOLUSDT,0.3111783067633239,65.0
2025-05,SOLUSDT,0.04268741123734847,33.0
2025-06,SOLUSDT,-0.012540420529755264,31.0
2025-07,SOLUSDT,0.012380414938748356,32.0
2025-08,SOLUSDT,0.12441008795269107,61.0
2025-09,SOLUSDT,0.03990604356660578,18.0
2025-10,SOLUSDT,0.3608253549153258,62.0
2025-11,SOLUSDT,0.36473115708622317,108.0
2025-12,SOLUSDT,0.015028911271752732,19.0
2026-01,SOLUSDT,0.06564791168533118,18.0
2026-02,SOLUSDT,0.3038799364060513,81.0
2026-03,SOLUSDT,0.08915394766033652,33.0
2026-04,SOLUSDT,-0.00041779895702475614,2.0
2026-05,SOLUSDT,0.047565477707231706,1.0
2026-06,SOLUSDT,0.10518737544155066,72.0
